time,traffic_light_id,state,phase,phase_duration,next_switch
210.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,235.0
210.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,235.0
210.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,235.0
210.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,235.0
215.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,235.0
215.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,235.0
215.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,235.0
215.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,235.0
215.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,235.0
220.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,235.0
220.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,235.0
220.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,235.0
220.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,235.0
220.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,235.0
225.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,235.0
225.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,235.0
225.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,235.0
225.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,235.0
225.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,235.0
230.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,235.0
230.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,235.0
230.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,235.0
230.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,235.0
230.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,235.0
235.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,gGGGgrrrrrrrrGrGr,5,32.0,260.0
235.0,cluster_123241924_382443557_5344542568_5546892974_#3more,yyyygggrrrrrrrrrrrrryyyyyggrrrr,2,3.0,260.0
235.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,260.0
235.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,260.0
235.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,260.0
